"ID","Name","Category","Severity","Status","Message","Recommendation","URL"
"CFG001","Orphaned ConfigMaps","Best Practices","warning","PASS","No issues detected for Orphaned ConfigMaps.","Delete unused ConfigMaps to clean up the cluster and reduce confusion.","https://kubernetes.io/docs/concepts/configuration/configmap/"
"CFG002","Duplicate ConfigMap Names","Best Practices","warning","PASS","No issues detected for Duplicate ConfigMap Names.","Avoid using the same ConfigMap name across namespaces to reduce confusion and misconfiguration risk.","https://kubernetes.io/docs/concepts/configuration/configmap/"
"CFG003","Large ConfigMaps","Best Practices","warning","PASS","No issues detected for Large ConfigMaps.","Avoid storing large data in ConfigMaps. Consider using PersistentVolumes or Secrets instead.","https://kubernetes.io/docs/concepts/configuration/configmap/"
"EVENT001","Grouped Warning Events","Events","warning","PASS","No issues detected for Grouped Warning Events.","Check for recurring issues. Investigate sources using `kubectl describe` or logs.","https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.28/#event-v1-core"
"EVENT002","Full Warning Event Log","Events","warning","PASS","No issues detected for Full Warning Event Log.","Review recent warnings. Correlate events with impacted resources.","https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.28/#event-v1-core"
"JOB001","Stuck Kubernetes Jobs","Jobs","warning","PASS","No issues detected for Stuck Kubernetes Jobs.","Jobs that haven't completed may be stuck due to node issues, misconfiguration, or missing pods.","https://kubernetes.io/docs/concepts/workloads/controllers/job/#pod-backoff-failure-policy"
"JOB002","Failed Kubernetes Jobs","Jobs","critical","PASS","No issues detected for Failed Kubernetes Jobs.","Review job logs and resource constraints to identify cause of failure.","https://kubernetes.io/docs/concepts/workloads/controllers/job/#handling-pod-and-container-failures"
"NET001","Services Without Endpoints","Networking","critical","PASS","No issues detected for Services Without Endpoints.","Check if the service selector matches any pods. Ensure the backing pods are running and ready.","https://kubernetes.io/docs/concepts/services-networking/service/"
"NET002","Publicly Accessible Services","Networking","critical","PASS","No issues detected for Publicly Accessible Services.","Audit services of type LoadBalancer or NodePort. Limit exposure with firewalls or internal IP ranges.","https://kubernetes.io/docs/concepts/services-networking/service/#publishing-services"
"NET003","Ingress Health Validation","Networking","critical","PASS","No issues detected for Ingress Health Validation.","Fix invalid ingress definitions including missing TLS secrets, backend services, and path issues.","https://kubernetes.io/docs/concepts/services-networking/ingress/"
